Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,438.84B,24.01,164.08,-0.65%,"1,952,640",2.00%,0.30%,-7.34%,-8.59%,3.74%,-3.46%,2.06%,1.77%,2.40,6.99M,0.64,0.55,3.01,-0.16%,-0.81%,-4.63%,-12.11%,5.37%,49.36,-0.22%,-0.43%,2.63B,2.63B,0.09%,-3.16%,70.80%,0.16%,0.49%,1.85,15.61,5.90,4.59,5.69,13.47,50.97,44.70%,5.22%,5.70%,4.07%,5.50%,2.74%,10.20%,24.90%,19.40%,1.40,1.20,0.37,0.43,67.90%,21.30%,19.20%,Oct 18/b
JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,USA,327.77B,8.78,112.23,2.61%,"20,386,634",1.14%,-5.81%,-3.17%,-14.08%,-32.07%,-30.93%,3.81%,3.07%,2.30,12.02M,3.88,1.07,3.68,2.96%,-1.52%,-12.38%,-35.11%,10.81%,53.59,0.41%,2.19%,2.96B,2.91B,0.93%,-0.09%,70.60%,0.10%,0.62%,1.51,8.72,7.14,5.15,1.28,0.21,2.71,73.10%,12.42%,19.90%,1.23%,0.70%,3.66%,1.00%,14.60%,6.30%,-,-,1.14,1.14,-,87.90%,58.40%,Oct 14/b
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,USA,182.75B,30.40,243.30,-1.40%,"1,133,756",5.11%,-3.51%,-3.24%,-1.82%,1.69%,-7.95%,2.42%,2.05%,2.00,2.60M,1.00,0.59,5.13,0.72%,-3.57%,-2.70%,-10.27%,11.77%,49.42,-2.32%,0.94%,737.50M,734.48M,0.17%,-2.03%,69.80%,0.02%,0.92%,2.60,23.42,4.24,7.75,-,97.60,92.63,59.10%,6.99%,13.00%,7.17%,-1.20%,2.24%,11.80%,-107.50%,28.30%,1.40,1.40,-,-,55.30%,37.60%,25.80%,Oct 27/b
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,12.31B,4.30,30.77,0.16%,"1,917,653",-7.80%,-9.70%,5.10%,-25.58%,-36.20%,-31.55%,5.05%,4.54%,2.20,5.00M,0.88,2.06,1.51,-2.73%,-7.51%,-16.75%,-39.87%,16.51%,43.31,-1.54%,1.73%,417.39M,315.33M,17.10%,1.81%,72.60%,-0.04%,5.39%,3.40,28.87,-,1.04,2.24,2.13,9.11,219.60%,-26.21%,4.70%,-,0.40%,0.03%,7.50%,53.90%,10.70%,1.70,1.60,1.26,1.49,49.20%,40.00%,26.90%,Nov 02/a
MMM,3M Company,Industrials,Specialty Industrial Machinery,USA,67.26B,15.98,112.97,-1.13%,"1,142,674",2.83%,-2.78%,-12.20%,-23.14%,-35.51%,-35.68%,3.23%,2.44%,3.30,9.54M,0.27,0.98,3.34,0.09%,-10.61%,-21.43%,-39.36%,5.51%,44.37,-1.13%,0.00%,571.00M,568.92M,0.12%,-7.63%,66.80%,-0.18%,2.71%,1.62,10.56,39.95,1.92,4.75,22.54,74.24,8.10%,4.64%,4.40%,0.40%,3.30%,5.22%,8.90%,28.50%,18.70%,1.50,0.90,1.02,1.18,44.50%,14.70%,11.80%,Oct 25/b
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,USA,82.97B,47.21,45.63,-0.57%,"3,872,807",6.75%,9.89%,9.29%,-16.26%,-4.24%,-3.17%,2.52%,2.26%,2.60,8.59M,1.03,0.66,1.09,7.07%,3.75%,-5.85%,-20.02%,13.09%,64.90,-0.80%,0.24%,1.81B,1.80B,0.07%,0.00%,60.20%,-0.00%,1.04%,2.17,9.03,11.08,3.26,-,32.32,53.22,-44.60%,4.78%,-28.80%,4.26%,0.20%,8.19%,4.50%,-99.00%,35.60%,0.50,0.40,-,-,55.00%,45.10%,6.80%,Oct 27/b
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,USA,55.28B,4.11,133.18,-1.14%,"1,993,832",7.65%,-3.36%,-19.29%,-20.59%,-58.10%,-46.96%,6.36%,5.00%,2.50,4.73M,0.96,1.67,7.50,6.72%,-5.30%,-13.77%,-64.64%,15.78%,53.77,-1.92%,0.79%,396.00M,353.86M,5.40%,-10.60%,64.30%,0.10%,4.47%,3.34,15.34,-,2.40,2.97,7.00,6.00,-1.80%,-66.75%,111.10%,-,179.40%,-,56.60%,94.80%,81.90%,2.00,1.70,0.04,0.04,82.30%,68.00%,61.10%,Aug 03/b
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,1840.53B,24.29,229.27,-2.12%,"12,582,040",-5.09%,-7.13%,-8.76%,-18.56%,-20.95%,-30.35%,3.73%,2.80%,1.70,25.53M,1.13,0.96,7.54,-3.86%,-11.51%,-17.43%,-34.43%,4.63%,38.38,-2.74%,0.64%,7.47B,7.43B,0.07%,-2.28%,72.00%,-0.01%,0.47%,1.37,19.68,1.62,9.28,10.51,17.57,39.15,19.80%,17.86%,24.30%,14.96%,15.50%,1.16%,21.00%,45.40%,31.30%,1.80,1.70,0.37,0.39,68.40%,42.00%,36.70%,Jul 26/a
NFLX,"Netflix, Inc.",Communication Services,Entertainment,USA,110.42B,21.76,231.05,-0.63%,"8,525,049",-3.13%,3.74%,22.95%,-33.65%,-63.08%,-61.41%,6.77%,5.50%,2.70,10.90M,1.79,1.21,12.93,-1.15%,-0.74%,-19.88%,-67.04%,42.00%,50.07,-2.89%,2.33%,444.56M,438.24M,1.50%,0.00%,78.10%,-0.03%,2.51%,1.01,21.50,2.47,3.56,5.42,18.98,689.29,81.30%,7.16%,90.50%,8.80%,27.50%,-,11.40%,30.10%,16.70%,1.00,1.00,0.75,0.75,40.60%,19.10%,16.40%,Oct 18/a
NIO,NIO Inc.,Consumer Cyclical,Auto Manufacturers,China,22.92B,-,12.13,-5.09%,"26,290,013",-13.47%,-41.75%,-38.32%,-37.41%,-64.74%,-59.66%,6.96%,6.67%,1.70,42.91M,1.40,1.95,1.18,-26.00%,-34.24%,-40.62%,-72.60%,3.93%,25.14,-6.12%,1.10%,1.63B,1.51B,0.47%,0.00%,37.20%,-0.55%,3.84%,1.36,-,-,4.08,4.61,3.22,-,-41.70%,70.10%,-14.40%,-0.15%,-,-,-11.50%,-30.70%,-8.80%,1.90,1.80,0.38,0.63,16.20%,-21.20%,-24.10%,Sep 07/b
